,read_tables,read_kmers,transfer_tables,transfer_kmers,load_tables,start,transfer_results,Runtime (s),Millions of Mutations,# of Transcription Factors
0,92915,2916485,86641,3261314,94960,135072183,14661152,0.15618565333333334,1,1
1,92856,5073658,94212,6502651,92450,270109030,29306748,0.3112716090555556,2,1
2,92761,9511801,103598,13053213,95305,540204138,54783536,0.6178443545,4,1
3,97798,18617912,91544,26035387,93355,1080375448,115771214,1.2410826621111113,8,1
4,93182,35995636,105950,51896604,94499,2160743600,218567184,2.467496657,16,1
5,92252,69454787,100764,103800115,97017,4321476821,461605711,4.956627470444444,32,1
6,92184,137103568,88956,207611910,96589,8642998172,877428265,9.865419646388892,64,1
7,190106,2875628,144975,3234904,443798,135066069,14821067,0.15677654961111107,1,8
8,188134,5105703,143701,6532768,441932,270115550,29299073,0.31182686444444446,2,8
9,185979,9628663,150799,12993775,443552,540210693,55036664,0.6186501281666668,4,8
10,186227,18282421,142776,25975829,443444,1080403410,115554083,1.240988192277778,8,8
11,184698,36391498,149695,51886109,444697,2160736825,218380777,2.4681743021666667,16,8
12,187152,69267658,144012,103639735,446035,4321506542,462315011,4.957506147555555,32,8
13,187256,137867341,140674,206731119,445610,8642963392,876042626,9.86437802283333,64,8
14,273155,2820105,262261,3261683,842595,135064970,14889194,0.15741396627777776,1,16
15,269459,5045700,261672,6482124,841763,270103174,29412798,0.3124166925,2,16
16,270518,9517852,257803,12960792,841010,540205507,54706479,0.6187599642222221,4,16
17,271832,18373472,257872,25990639,842410,1080369386,115240748,1.2413463627777777,8,16
18,270538,36013642,248675,51854308,843088,2160724636,217624774,2.467579664388889,16,16
19,273165,69735255,261234,103823576,845032,4321458471,462636068,4.959032804777777,32,16
20,273642,136165221,261514,207502401,846832,8642944344,876298284,9.864292242444447,64,16
21,360455,2781763,300053,3261502,1241560,135063382,14930818,0.15793953644444447,1,24
22,365015,5075785,300809,6547389,1242125,270111292,29414636,0.3130570547222222,2,24
23,362207,9509592,302176,13053959,1242406,540195649,54475151,0.6191411438333332,4,24
24,359337,18503177,300632,26083645,1243426,1080387023,115952298,1.2428295418888888,8,24
25,364077,36169567,303499,51847812,1243319,2160741551,219308304,2.469978132944445,16,24
26,361533,69579093,304281,103491989,1242808,4321469435,460441643,4.956890785111112,32,24
27,366097,138070165,303468,207653853,1245657,8642987609,877937165,9.86856401688889,64,24
28,452840,2765404,373828,3273423,1643629,135065158,14832763,0.15840704844444448,1,32
29,453067,5061540,378462,6517832,1640485,270103877,29363437,0.3135187043333333,2,32
30,450293,9568509,380269,13089866,1641153,540202529,54922636,0.6202552567777777,4,32
31,443924,18371260,383184,25976031,1644041,1080402104,115410394,1.242630941388889,8,32
32,450504,36228415,378413,51854804,1644348,2160767915,218755454,2.4700798567222226,16,32
33,448474,69897916,385776,103694885,1643601,4321491710,463930213,4.961492578444444,32,32
34,449094,137504183,379344,207610836,1645102,8642959496,875826292,9.866374350222223,64,32
35,630697,2883224,527540,3251255,2441650,269451758,29465321,0.3086514496111111,1,48
36,621940,5068468,535970,6498492,2440510,538909723,58378054,0.6124531600555555,2,48
37,622965,9544461,533959,13044108,2440294,1077782061,109387233,1.2133550837777778,4,48
38,625585,18422842,547713,26077013,2441755,2155551125,231155786,2.434821822777778,8,48
39,628977,36263239,538416,51914632,2443094,4311006041,437408163,4.840202564722222,16,48
40,625174,69785639,541431,103707172,2442557,8622129390,926597282,9.725828647944443,32,48
41,620723,136846793,536393,207132512,2443201,17244233098,1746184888,19.33799761172222,64,48
42,800858,2843676,699136,3269034,3239520,269457610,29563040,0.3098728764444444,1,64
43,806404,5093741,693396,6517350,3238412,538899649,58398727,0.6136476825555556,2,64
44,799234,9608444,698797,13033731,3238554,1077791110,109670025,1.2148398986111113,4,64
45,800547,18503697,701229,26137070,3241605,2155527936,231137577,2.436049663944444,8,64
46,806028,36474361,702021,51884820,3239849,4311031532,438846387,4.842985000055555,16,64
47,797755,69922427,703620,103747927,3246317,8622102207,925336477,9.725856732777778,32,64
48,803853,137163571,701675,207794440,3243399,17244039213,1748414348,19.342160502444443,64,64
49,1166141,2785027,1004641,3262768,4838905,403566638,44098900,0.46072302350000005,1,96
50,1157080,5091510,998377,6521443,4836397,807104711,87233029,0.9129425514444444,2,96
51,1153615,9439501,1007199,12985041,4837389,1614183794,164669444,1.8082759860555555,4,96
52,1146764,18381205,1016659,26023174,4837296,3228375795,346606528,3.626387423,8,96
53,1158608,36388369,1014651,51832504,4838327,6456720363,655297893,7.207250718444444,16,96
54,1151685,69790544,1014777,103831368,4838780,12913234577,1385855222,14.479716955555554,32,96
55,1161658,137291007,1008358,207782466,4839785,25826529112,2617605845,28.79621823338889,64,96
56,1495458,2898636,1317938,3261991,6436842,538378277,58459048,0.6122481924444445,1,128
57,1496953,5050401,1309195,6501785,6433566,1076725803,116108849,1.2136265561666668,2,128
58,1494915,9479358,1319260,13065742,6434826,2153482392,218485673,2.4037621697222225,4,128
59,1490703,18346324,1323236,26080449,6438390,4306977446,460778105,4.821434658444444,8,128
60,1499834,36192462,1327167,51932676,6435308,8613893794,875500337,9.586781581499999,16,128
61,1499317,70155035,1323098,103748448,6436107,17227656468,1847780465,19.258598942611112,32,128
62,1503196,137074719,1334953,207415574,6440024,34455603397,3490956332,38.30032819877778,64,128
